"","Title","Year","IMDb","Rotten.Tomatoes","provider","has_movie"
"281","The Edge of Democracy",2019,7.1,97,"Netflix",1
"282","The Polar Express",2004,6.6,56,"Netflix",1
"283","Under the Skin",2014,6.3,85,"Netflix",1
"284","Crip Camp: A Disability Revolution",2020,7.8,100,"Netflix",1
"285","Tell Me Who I Am",2019,7.6,95,"Netflix",1
"286","Hey Arnold! The Jungle Movie",2017,7.6,100,"Netflix",1
"287","Zack and Miri Make a Porno",2008,6.5,65,"Netflix",1
"288","The Score",2001,6.8,73,"Netflix",1
"289","Hamburger Hill",1987,6.7,100,"Netflix",1
"290","9",2009,7.1,57,"Netflix",1
"291","Undefeated",2011,7.7,96,"Netflix",1
"292","Team Foxcatcher",2016,7.3,100,"Netflix",1
"293","A Shaun the Sheep Movie: Farmageddon",2019,6.9,97,"Netflix",1
"294","April and the Extraordinary World",2015,7.3,96,"Netflix",1
"295","The Highwaymen",2019,6.9,57,"Netflix",1
"296","Legend",2015,6.9,61,"Netflix",1
"297","Boy & the World",2014,7.6,93,"Netflix",1
"298","Creep 2",2017,6.4,100,"Netflix",1
"299","Terminator 3: Rise of the Machines",2003,6.3,69,"Netflix",1
"300","Unrest",2017,7.7,100,"Netflix",1
"301","Guru",2007,7.7,83,"Netflix",1
"302","Louis C.K. 2017",2017,7.6,100,"Netflix",1
"303","A Twelve-Year Night",2018,7.6,88,"Netflix",1
"304","Happy as Lazzaro",2018,7.6,91,"Netflix",1
"305","What Happened, Miss Simone?",2015,7.6,89,"Netflix",1
"306","Blue Jay",2016,7.3,90,"Netflix",1
"307","1922",2017,6.3,90,"Netflix",1
"308","Hancock",2008,6.4,41,"Netflix",1
"309","Circus of Books",2019,7.1,98,"Netflix",1
"310","Hail, Caesar!",2016,6.3,85,"Netflix",1
"311","The Pixar Story",2007,7.8,86,"Netflix",1
"312","Child's Play",1988,6.6,71,"Netflix",1
"313","Springsteen On Broadway",2018,8.5,95,"Netflix",1
"314","The Angry Birds Movie 2",2019,6.4,73,"Netflix",1
"315","Obvious Child",2014,6.8,90,"Netflix",1
"316","Awe!",2018,7.8,100,"Netflix",1
"317","American Honey",2016,7,79,"Netflix",1
"318","Last Breath",2019,7.7,92,"Netflix",1
"319","Udta Punjab",2016,7.8,91,"Netflix",1
"320","Den of Thieves",2018,7,41,"Netflix",1
"321","Wadjda",2012,7.5,99,"Netflix",1
"322","The Spiderwick Chronicles",2008,6.5,80,"Netflix",1
"323","The Christmas Chronicles",2018,7.1,64,"Netflix",1
"324","Turbo",2013,6.4,67,"Netflix",1
"325","My Girl",1991,6.9,53,"Netflix",1
"326","22-Jul",2018,6.8,80,"Netflix",1
"327","Adam Sandler: 100% Fresh",2018,7.6,92,"Netflix",1
"328","Remember",2015,7.5,70,"Netflix",1
"329","Triple Frontier",2019,6.4,72,"Netflix",1
"330","Bombshell: The Hedy Lamarr Story",2018,7.4,96,"Netflix",1
"331","Paddleton",2019,7.2,89,"Netflix",1
"332","Bad Boys II",2003,6.6,23,"Netflix",1
"333","Sour Grapes",2016,7.3,96,"Netflix",1
"334","Betting on Zero",2017,7.2,100,"Netflix",1
"335","Delhi Belly",2011,7.5,87,"Netflix",1
"336","Being Elmo: A Puppeteer's Journey",2011,7.6,95,"Netflix",1
"337","Williams",2017,7.6,93,"Netflix",1
